remote 1.559486 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x10
remote 1.599573 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xdf | 0x03 | 0xf9 | 0x26 | 0x00 | 0x0f
remote 1.639626 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xe0 | 0x03 | 0xf8 | 0x26 | 0x00 | 0x0f
remote 1.679624 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf6 | 0x26 | 0x00 | 0x0e
remote 1.719642 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xe1 | 0x03 | 0xf6 | 0x26 | 0x00 | 0x10
remote 1.759592 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf5 | 0x26 | 0x00 | 0x0f
remote 1.799587 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf8 | 0x26 | 0x00 | 0x0e
remote 1.839655 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xdf | 0x03 | 0xf5 | 0x26 | 0x00 | 0x12
remote 1.879647 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xe0 | 0x03 | 0xf8 | 0x26 | 0x00 | 0x0f
remote 1.919673 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x11 | 0xff | 0xe0 | 0x03 | 0xf6 | 0x26 | 0x00 | 0x11
remote 1.959663 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x10 | 0xff | 0xdf | 0x03 | 0xf6 | 0x26 | 0x00 | 0x13
remote 1.999632 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe1 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x10
remote 2.039651 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xdf | 0x03 | 0xf2 | 0x26 | 0x00 | 0x15
remote 2.079652 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe0 | 0x03 | 0xf4 | 0x26 | 0x00 | 0x12
remote 2.119694 R FIFO 0x45 | 0xe1 | 0x00 | 0x09 | 0xff | 0xee | 0x00 | 0x09 | 0x00 | 0x10 | 0xff | 0xe0 | 0x03 | 0xf8 | 0x26 | 0x00 | 0x10
