remote 1.688723 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x00 | 0x29 | 0x00 | 0x16
remote 1.728698 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x04 | 0x00 | 0x02 | 0xff | 0xfe | 0x29 | 0x00 | 0x13
remote 1.769493 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xfe | 0x00 | 0x01 | 0x00 | 0x00 | 0x29 | 0x00 | 0x18
remote 1.809513 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x03 | 0xff | 0xff | 0x00 | 0x01 | 0x29 | 0x00 | 0x14
remote 1.848775 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0xff | 0xff | 0x00 | 0x00 | 0x29 | 0x00 | 0x1a
remote 1.888705 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x04 | 0x00 | 0x00 | 0x00 | 0x00 | 0x29 | 0x00 | 0x12
remote 1.928785 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0x00 | 0x02 | 0x00 | 0x00 | 0x29 | 0x00 | 0x16
remote 1.968724 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0x00 | 0x01 | 0x29 | 0x00 | 0x14
remote 2.009446 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x00 | 0x00 | 0x00 | 0x29 | 0x00 | 0x15
remote 2.049521 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x01 | 0x00 | 0x01 | 0x00 | 0x01 | 0x29 | 0x00 | 0x13
remote 2.088710 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x00 | 0x00 | 0x02 | 0x00 | 0x00 | 0x29 | 0x00 | 0x14
remote 2.128798 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0xff | 0xff | 0x00 | 0x01 | 0x00 | 0x00 | 0x29 | 0x00 | 0x17
remote 2.168721 R FIFO 0x45 | 0xe0 | 0x00 | 0x0b | 0xff | 0xf2 | 0xff | 0xe6 | 0x00 | 0x02 | 0x00 | 0x02 | 0x00 | 0x00 | 0x29 | 0x00 | 0x12
