remote 3.349153 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x28 | 0x00 | 0xfd
remote 3.389240 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x28 | 0x00 | 0x00
remote 3.429128 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe8 | 0x03 | 0xf6 | 0x28 | 0x00 | 0xfd
remote 3.469681 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf7 | 0x28 | 0x00 | 0xfd
remote 3.509677 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x28 | 0x00 | 0xfe
remote 3.549277 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x28 | 0x00 | 0xfd
remote 3.589257 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf9 | 0x28 | 0x00 | 0xff
remote 3.629241 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf6 | 0x27 | 0x00 | 0x00
remote 3.669247 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x27 | 0x00 | 0x01
remote 3.709693 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf5 | 0x27 | 0x00 | 0x00
remote 3.749325 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe5 | 0x03 | 0xfb | 0x27 | 0x00 | 0xff
remote 3.789260 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe5 | 0x03 | 0xf7 | 0x27 | 0x00 | 0x01
remote 3.829392 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf9 | 0x27 | 0x00 | 0x00
remote 3.869321 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf4 | 0x27 | 0x00 | 0x01
remote 3.909624 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x27 | 0x00 | 0xfd
remote 3.949689 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf6 | 0x27 | 0x00 | 0x02
remote 3.989281 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x27 | 0x00 | 0x00
remote 4.029382 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x12 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x27 | 0x00 | 0x00
remote 4.069337 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x27 | 0x00 | 0x00
remote 4.109430 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xfa | 0x27 | 0x00 | 0xfe
remote 4.149722 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe6 | 0x03 | 0xf7 | 0x27 | 0x00 | 0xff
remote 4.189482 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe5 | 0x03 | 0xf8 | 0x27 | 0x00 | 0x01
remote 4.229432 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf8 | 0x27 | 0x00 | 0xfd
remote 4.269445 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x13 | 0xff | 0xe6 | 0x03 | 0xf9 | 0x27 | 0x00 | 0xff
remote 4.309402 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x14 | 0xff | 0xe6 | 0x03 | 0xf5 | 0x27 | 0x00 | 0x02
remote 4.349434 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x15 | 0xff | 0xe7 | 0x03 | 0xf7 | 0x27 | 0x00 | 0xfe
remote 4.389706 R FIFO 0x45 | 0xe1 | 0x00 | 0x0b | 0xff | 0xf2 | 0x00 | 0x09 | 0x00 | 0x16 | 0xff | 0xe6 | 0x03 | 0xf8 | 0x27 | 0x00 | 0xfd
